"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000024081",1679.23083528761,1.79584853406935,0.278377679578537,6.45112257846341,1.11024651190339e-10,1.27710850241685e-09
"ENSMUSG00000082029",132.056984376882,-10.054766824189,1.55862988758675,-6.4510291405723,1.11093133918916e-10,1.27710850241685e-09
"ENSMUSG00000034480",912.276200875371,-2.22833822852517,0.345512332824999,-6.44937392047831,1.12313148993302e-10,1.29015694448736e-09
"ENSMUSG00000085765",66.5781053648392,-11.3514266726378,1.76054213945661,-6.44768814005292,1.13569148509335e-10,1.30359870692574e-09
"ENSMUSG00000096917",185.605043388079,-4.10219520145296,0.636454370750445,-6.44538774494714,1.1530524396071e-10,1.32252676343455e-09
"ENSMUSG00000029500",201.432215289371,4.3872628659745,0.681072252193786,6.44169961680686,1.18142929915976e-10,1.3540517235502e-09
"ENSMUSG00000087066",175.76129652991,-4.86032867698232,0.754930343010309,-6.43811541287584,1.20966008940441e-10,1.38536184899664e-09
"ENSMUSG00000069301",400.525318044509,4.12581553156621,0.641339977060222,6.43311765855942,1.25012803596115e-10,1.4306288134217e-09
"ENSMUSG00000000374",1079.65835849034,-1.84452012794,0.286760659188061,-6.43226352304605,1.25717531273665e-10,1.43761026349539e-09
"ENSMUSG00000025422",432.009887247461,2.6610790653533,0.413794596884408,6.43091786453815,1.2683568804959e-10,1.44930531130253e-09
"ENSMUSG00000030056",748.132385371015,2.15753529880099,0.335530708280201,6.43021710251104,1.27421819793323e-10,1.45490808675293e-09
"ENSMUSG00000101295",95.7547602669183,-11.8818140748497,1.84843810631632,-6.42802917460324,1.29268935414977e-10,1.47488959670311e-09
"ENSMUSG00000032667",1015.85763573844,-2.3282885269108,0.362917630941668,-6.41547372848642,1.40385623847619e-10,1.60052258539785e-09
"ENSMUSG00000054434",260.545840865757,-5.50164389942978,0.857957380746783,-6.4124909032673,1.43160970618576e-10,1.63093960976271e-09
"ENSMUSG00000103910",69.1973200521854,-11.4038035207715,1.77998741916706,-6.40667647308871,1.48725944035006e-10,1.69306760578381e-09
"ENSMUSG00000014959",957.601151935681,-1.98503223771307,0.310414125330095,-6.39478707872001,1.60771225781532e-10,1.82800393680267e-09
"ENSMUSG00000024750",5917.33630691236,-1.36357420291871,0.213233697927494,-6.39474068203968,1.60820048700669e-10,1.82800393680267e-09
"ENSMUSG00000087691",87.2688639236751,-11.7480888355355,1.83769580578032,-6.39283650677269,1.62836346784914e-10,1.84953834126829e-09
"ENSMUSG00000063646",277.269295747353,7.33281674907112,1.1470842256512,6.39257047136908,1.63120006419171e-10,1.85137549886512e-09
"ENSMUSG00000043263",539.625139451162,-2.28874163076055,0.358172499554122,-6.39005404828605,1.65827131669931e-10,1.88069516171738e-09
"ENSMUSG00000026409",516.983809859286,-2.20297232609908,0.344920972836201,-6.3868900403028,1.69293277045211e-10,1.91857291433476e-09
"ENSMUSG00000040254",274.791326066355,9.78827176549257,1.53468189164722,6.3780460424841,1.79361596906578e-10,2.02964620761795e-09
"ENSMUSG00000083285",68.516352105836,-11.3893877978087,1.78569534492324,-6.37812481854136,1.79269384311815e-10,2.02964620761795e-09
"ENSMUSG00000021241",500.895595454953,-2.5921038287725,0.406641901821709,-6.37441399216403,1.83663850513192e-10,2.07678275047903e-09
"ENSMUSG00000061859",267.574287520647,9.75000819038179,1.53008857019576,6.37218549324526,1.86353298882711e-10,2.10562589050063e-09
