"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSMUSG00000034109",4286.62123793013,-1.44768012865421,0.205027535364509,5.77273604609368e-13,6.54397358185179e-12
"ENSMUSG00000022360",19333.9906562769,-1.82067061850779,0.259305155481071,6.0267275275147e-13,6.82693328280317e-12
"ENSMUSG00000092558",2210.7927218919,-2.3937238410235,0.345362225966516,6.20158413650863e-13,7.01990500622804e-12
"ENSMUSG00000018678",794.348373811644,-3.9323395159159,0.575262531942182,6.29012134651386e-13,7.11495801365105e-12
"ENSMUSG00000070732",787.098321799966,-3.52657591112634,0.514382885635822,6.32244953101908e-13,7.14633943727298e-12
"ENSMUSG00000037111",1652.08142422626,2.71884663061183,0.394536951453119,6.35942017627534e-13,7.1829190063481e-12
"ENSMUSG00000028037",376.662715541136,11.8498575437,3.13338201138628,6.46904957794723e-13,7.30145371263312e-12
"ENSMUSG00000025422",909.947779163733,2.47019098707623,0.357119058692591,6.50276980644704e-13,7.33420209646092e-12
"ENSMUSG00000020053",506.8469010948,-4.23662605977302,0.622472013225485,6.94904153487528e-13,7.83186626204635e-12
"ENSMUSG00000031355",537.830691119452,3.60839862663019,0.528522806653948,6.99216031523946e-13,7.87476899086976e-12
"ENSMUSG00000023942",2521.06492830777,-2.08911042076872,0.300997986694348,7.37126653435263e-13,8.29573512425664e-12
"ENSMUSG00000017950",396.982035176524,11.9259312809128,3.15135715598896,7.3891410340621e-13,8.30985146449682e-12
"ENSMUSG00000017405",860.842659069643,-4.27923670945128,0.63070620890609,7.51595487280187e-13,8.44493779411834e-12
"ENSMUSG00000029513",2150.48525880492,-2.33296219816414,0.337534568242787,7.52009601477914e-13,8.44493779411834e-12
"ENSMUSG00000022812",5214.32085996671,-1.494054302819,0.212998028724184,7.61545242121286e-13,8.54586442688588e-12
"ENSMUSG00000065954",12198.3431184184,-1.36371701701482,0.193990553035749,7.74323452473668e-13,8.68300694511299e-12
"ENSMUSG00000025203",4661.02600934998,2.56503321276012,0.371456656374969,7.84469098386516e-13,8.79045279406947e-12
"ENSMUSG00000092060",364.792224541168,6.57898576876151,0.950329265182672,7.94410095627688e-13,8.89545270154365e-12
"ENSMUSG00000066800",6349.83579078291,-1.9069038803184,0.274414115416353,8.08780562867168e-13,9.04986549419278e-12
"ENSMUSG00000008193",510.239964981364,-7.83742796198995,1.18284675516046,8.40034360803345e-13,9.392837576644e-12
"ENSMUSG00000019132",6694.44796067534,-1.42528743707102,0.203348760962295,8.47902904333141e-13,9.47402334755604e-12
"ENSMUSG00000029004",6562.20137102447,-1.81593874999054,0.261054564122972,8.49223617458568e-13,9.48198318433144e-12
"ENSMUSG00000037434",1302.51294427563,-2.64059711235735,0.384698857935805,8.60589502841172e-13,9.60201043721213e-12
"ENSMUSG00000037742",145700.899589277,1.58012729107599,0.22606607528212,8.80554037485604e-13,9.81773661107876e-12
"ENSMUSG00000103507",421.707231539574,-4.22206015205485,0.624878137970733,9.17017169331897e-13,1.02169739945506e-11
"ENSMUSG00000083285",198.787577869316,-12.4889326213518,3.3427929911382,9.33974838387859e-13,1.03984755756797e-11
"ENSMUSG00000037443",3782.53518314862,-2.50648772516232,0.365238946381665,9.36738238773172e-13,1.04217979498625e-11
"ENSMUSG00000022636",1461.11264307105,2.30312326802271,0.335313846057231,9.70493107975349e-13,1.07896405663422e-11
"ENSMUSG00000062901",5150.63599750868,1.40839301564001,0.201249345092108,9.8234907880828e-13,1.09136672069741e-11
