"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSMUSG00000023830",2569.07395575166,1.46973376172794,0.236916592704327,5.14291492318531e-11,4.62548053841373e-09
"ENSMUSG00000054404",905.878305927555,2.2318056506929,0.364015453920785,5.46724432913426e-11,4.89001206874886e-09
"ENSMUSG00000062939",2756.41772162259,1.28688405656547,0.20701057306712,5.63717314698703e-11,5.01429648772379e-09
"ENSMUSG00000024053",2047.8626113679,-1.47702707118155,0.239615441461624,6.37999408846223e-11,5.64402865017022e-09
"ENSMUSG00000018819",3959.55745293023,1.27604707604352,0.206035224523486,6.67782858956582e-11,5.86390656774433e-09
"ENSMUSG00000021423",1251.89460852321,-3.29178768977577,0.544557922964784,6.70098656515351e-11,5.86390656774433e-09
"ENSMUSG00000005802",1472.43819127977,1.53731584454965,0.250731476636962,7.64940724960247e-11,6.62225957025745e-09
"ENSMUSG00000030246",783.455675520481,2.50364074188721,0.415017223214865,8.62751782491115e-11,7.42930245039822e-09
"ENSMUSG00000026389",1047.11144414809,-2.12162810900634,0.352063430608128,1.07691490830704e-10,9.22443145533479e-09
"ENSMUSG00000052013",811.783690304211,2.64449791434619,0.442706576340911,1.20192380732753e-10,1.02410234299081e-08
"ENSMUSG00000034394",298.403433697045,3.05237123108733,0.512656311070436,1.3506430158636e-10,1.13883123874041e-08
"ENSMUSG00000069305",10039.6705907862,-1.87679959815547,0.313137421529996,1.39350392951549e-10,1.16285748015084e-08
"ENSMUSG00000032515",1474.87481201975,1.65538780802154,0.275741187860483,1.60091761457032e-10,1.3290900134502e-08
"ENSMUSG00000011008",1003.47493420719,1.87800265674222,0.314842835868285,1.726937235215e-10,1.42639729086203e-08
"ENSMUSG00000022270",4522.22092297303,1.13902243540115,0.188193860123997,1.83362580226587e-10,1.50683086867422e-08
"ENSMUSG00000041481",3735.03324990135,1.19653304648273,0.198390835635879,2.06872149913817e-10,1.69144102775494e-08
"ENSMUSG00000091405",2548.93797044217,-1.26908758433401,0.211500861065691,2.10223955932401e-10,1.71020885557268e-08
"ENSMUSG00000037318",2858.8897739418,1.19155758174821,0.198290667688747,2.26630009492619e-10,1.83445661183801e-08
"ENSMUSG00000050921",739.403284232922,2.56979298662192,0.436052806354814,2.39608349021847e-10,1.92986047876353e-08
"ENSMUSG00000069874",1151.77419051114,1.91448324736162,0.323766102255364,2.47242075038842e-10,1.98148611524942e-08
"ENSMUSG00000022283",37938.0121047169,-1.04236698541452,0.174132722733309,2.71219808303577e-10,2.15234190030716e-08
"ENSMUSG00000026094",6025.42261865762,1.34427248940915,0.225933571159395,2.80117718791984e-10,2.21211012171874e-08
"ENSMUSG00000034858",1214.79440095609,1.58167405483402,0.267746735990803,2.93198148546548e-10,2.30416739166022e-08
"ENSMUSG00000032776",898.76535992851,1.77662146643838,0.301851029743279,3.01122273764701e-10,2.35500893235592e-08
"ENSMUSG00000019960",3060.29943684921,1.14975724993866,0.192847983079744,3.20848813885959e-10,2.4972218499999e-08
"ENSMUSG00000039908",220.844058685488,3.52878766861579,0.607372313553104,3.50290708529868e-10,2.71332836382298e-08
"ENSMUSG00000052837",5324.78056562365,1.0208335748394,0.17083604295392,3.53146571023134e-10,2.72242373252072e-08
"ENSMUSG00000019850",4815.55221976018,1.11021481607599,0.186781211932908,3.80023204548963e-10,2.91573253954652e-08
"ENSMUSG00000000486",2283.39380177152,1.36375106347561,0.231603543485176,3.92745503680879e-10,2.98505021553509e-08
"ENSMUSG00000033207",452.145050648782,3.64591604505327,0.629671030376048,4.28915885589618e-10,3.22963687060946e-08
"ENSMUSG00000074063",124.671726252771,11.0660038136239,3.13230088570265,4.46255602629344e-10,3.34464442174373e-08
"ENSMUSG00000028701",169.815270187644,4.21215595966668,0.741756720391356,4.76248961788125e-10,3.55299283059353e-08
"ENSMUSG00000100210",3263.20123559667,-1.66434824494819,0.287936179093177,5.58059476667303e-10,4.14423159071879e-08
"ENSMUSG00000042759",1080.29848984172,1.95430112934528,0.338522731825547,5.61660186309003e-10,4.15192545943217e-08
"ENSMUSG00000072966",529.979322072832,2.19939534736595,0.383131485084755,5.9964235439805e-10,4.41255003425001e-08
"ENSMUSG00000051627",7581.48523893135,-1.34849067078421,0.232362031343982,6.31532405546379e-10,4.62618919157934e-08
"ENSMUSG00000076613",554.154235726604,2.77253587139838,0.486416410479619,7.0142285417859e-10,5.11501557941315e-08
